Timesteps,RolloutActions,RolloutActionEntropy,RolloutDominantAction,RolloutDominantActionFraction,train_approx_kl,train_clip_fraction,train_clip_range,train_entropy_loss,train_explained_variance,train_learning_rate,train_loss,train_policy_gradient_loss,train_value_loss,rollout_ep_len_mean,rollout_ep_rew_mean
87040,"{""0"": 62, ""1"": 307, ""2"": 60, ""3"": 224, ""4"": 239, ""5"": 132}",1.633329,1,0.299805,0.0032973457127809525,0.152099609375,0.0913984,-1.6344617083668709,0.748221755027771,0.00022849600000000002,0.01692052371799946,-0.0022141648223623633,0.11613138066604733,,
88064,"{""0"": 67, ""1"": 313, ""2"": 60, ""3"": 243, ""4"": 231, ""5"": 110}",1.623853,1,0.305664,0.0009275354095734656,0.05908203125,0.091296,-1.6200651675462723,0.7149300575256348,0.00022824,0.04120391607284546,-0.0005569264176301658,0.1462129415012896,,
89088,"{""0"": 75, ""1"": 321, ""2"": 53, ""3"": 194, ""4"": 267, ""5"": 114}",1.618429,1,0.313477,0.002537928754463792,0.1357421875,0.0911936,-1.6037309914827347,0.770154595375061,0.000227984,0.04757089540362358,-0.0021120083692949265,0.16195505112409592,,
90112,"{""0"": 61, ""1"": 292, ""2"": 58, ""3"": 209, ""4"": 280, ""5"": 124}",1.62299,1,0.285156,0.0009607280371710658,0.013671875,0.0910912,-1.6055693700909615,0.7976999282836914,0.00022772799999999999,0.03345164656639099,-0.0011606256593950093,0.1265217661857605,,
91136,"{""0"": 79, ""1"": 301, ""2"": 60, ""3"": 216, ""4"": 262, ""5"": 106}",1.635595,1,0.293945,0.0020145392045378685,0.048583984375,0.09098880000000001,-1.6126467138528824,0.7819855809211731,0.00022747200000000002,0.025287436321377754,-0.00213353184517473,0.12591380160301924,,
92160,"{""0"": 73, ""1"": 285, ""2"": 68, ""3"": 197, ""4"": 295, ""5"": 106}",1.634731,4,0.288086,0.001315871486440301,0.048828125,0.0908864,-1.614639863371849,0.7311060428619385,0.000227216,0.06464198231697083,-0.0001518015342298895,0.17493281047791243,,
93184,"{""0"": 85, ""1"": 306, ""2"": 69, ""3"": 172, ""4"": 267, ""5"": 125}",1.656179,1,0.298828,0.003440171480178833,0.15771484375,0.090784,-1.6549286469817162,0.6178430318832397,0.00022696,0.05257612466812134,-0.003753087221411988,0.15615852177143097,,
94208,"{""0"": 90, ""1"": 278, ""2"": 68, ""3"": 202, ""4"": 268, ""5"": 118}",1.667816,1,0.271484,0.0014087180607020855,0.017822265625,0.0906816,-1.6384615004062653,0.6972779035568237,0.000226704,0.0318063423037529,-0.0009367723541799933,0.12960334867238998,,
95232,"{""0"": 94, ""1"": 273, ""2"": 84, ""3"": 212, ""4"": 237, ""5"": 124}",1.697209,1,0.266602,0.0020789604168385267,0.121337890625,0.09057920000000001,-1.648836188018322,0.757015585899353,0.00022644800000000002,0.04477231577038765,-0.002378566627157852,0.13493676763027906,,
96256,"{""0"": 71, ""1"": 317, ""2"": 45, ""3"": 188, ""4"": 260, ""5"": 143}",1.619522,1,0.30957,0.0019790376536548138,0.087646484375,0.09047680000000001,-1.6430843845009804,0.8202407360076904,0.000226192,0.020884212106466293,-0.00267758485279046,0.10225153109058738,,
97280,"{""0"": 72, ""1"": 312, ""2"": 54, ""3"": 167, ""4"": 298, ""5"": 121}",1.611285,1,0.304688,0.0012985122157260776,0.045166015625,0.09037440000000001,-1.63740786164999,0.5811155438423157,0.000225936,0.029544711112976074,-0.003021463693585247,0.16036294493824244,,
98304,"{""0"": 73, ""1"": 333, ""2"": 59, ""3"": 173, ""4"": 271, ""5"": 115}",1.615797,1,0.325195,0.002215129788964987,0.1396484375,0.090272,-1.6336553990840912,0.6051793694496155,0.00022568,0.08596518635749817,-0.0014683370536658913,0.21673092991113663,,
99328,"{""0"": 92, ""1"": 304, ""2"": 68, ""3"": 154, ""4"": 285, ""5"": 121}",1.65037,1,0.296875,0.001315221656113863,0.100830078125,0.09016960000000002,-1.6301545947790146,0.5421210527420044,0.00022542400000000003,0.046041086316108704,-0.0010975147597491741,0.16489466838538647,,
100352,"{""0"": 62, ""1"": 296, ""2"": 72, ""3"": 201, ""4"": 246, ""5"": 147}",1.656063,1,0.289062,0.0012688662391155958,0.008056640625,0.09006720000000001,-1.6490869745612144,0.4435308575630188,0.000225168,0.07522109895944595,-0.00016463990323245525,0.19105136301368475,,
101376,"{""0"": 78, ""1"": 275, ""2"": 62, ""3"": 213, ""4"": 265, ""5"": 131}",1.658472,1,0.268555,0.0011244534980505705,0.020263671875,0.08996480000000001,-1.6278575733304024,0.4089108109474182,0.00022491200000000002,0.05376987159252167,-0.00022632349282503128,0.1660534106194973,,
102400,"{""0"": 70, ""1"": 339, ""2"": 62, ""3"": 197, ""4"": 217, ""5"": 139}",1.636148,1,0.331055,0.0019119661301374435,0.040283203125,0.08986240000000001,-1.655131809413433,0.4679983854293823,0.000224656,0.054454028606414795,-0.0007593688787892461,0.16160623263567686,,
103424,"{""0"": 57, ""1"": 281, ""2"": 71, ""3"": 250, ""4"": 248, ""5"": 117}",1.636206,1,0.274414,0.0026156571693718433,0.085205078125,0.08976,-1.6361262127757072,0.4982419013977051,0.0002244,0.025380751118063927,-0.001258944219443947,0.117967891972512,,
104448,"{""0"": 66, ""1"": 313, ""2"": 86, ""3"": 196, ""4"": 235, ""5"": 128}",1.661232,1,0.305664,0.002762163057923317,0.19873046875,0.0896576,-1.658219300210476,0.5779772996902466,0.00022414400000000001,0.04405386000871658,-0.003003257210366428,0.15600282000377774,,
105472,"{""0"": 85, ""1"": 244, ""2"": 93, ""3"": 241, ""4"": 255, ""5"": 106}",1.687674,4,0.249023,0.003176421392709017,0.125244140625,0.0895552,-1.6710099279880524,0.6656813621520996,0.000223888,0.01882847025990486,-0.003745232039364055,0.13444350473582745,,
106496,"{""0"": 66, ""1"": 328, ""2"": 81, ""3"": 233, ""4"": 196, ""5"": 120}",1.64663,1,0.320312,0.0024583935737609863,0.119384765625,0.0894528,-1.661970093846321,0.6897419691085815,0.000223632,0.04428739845752716,-0.00297112058615312,0.14200796000659466,,
107520,"{""0"": 61, ""1"": 281, ""2"": 83, ""3"": 249, ""4"": 224, ""5"": 126}",1.660641,1,0.274414,0.0019766271580010653,0.048583984375,0.0893504,-1.6629359424114227,0.6318937540054321,0.00022337599999999998,0.032943159341812134,-0.001831827248679474,0.15017390111461282,,
108544,"{""0"": 81, ""1"": 275, ""2"": 72, ""3"": 238, ""4"": 239, ""5"": 119}",1.669291,1,0.268555,0.0013718375703319907,0.122314453125,0.089248,-1.6429312825202942,0.8327357172966003,0.00022312,0.032982900738716125,-0.005272337235510349,0.11021612118929625,,
109568,"{""0"": 78, ""1"": 299, ""2"": 77, ""3"": 199, ""4"": 247, ""5"": 124}",1.667184,1,0.291992,0.0019588612485677004,0.069580078125,0.0891456,-1.6598618179559708,0.7328624725341797,0.000222864,0.027901634573936462,-0.0029515468049794436,0.16146997176110744,,
110592,"{""0"": 62, ""1"": 285, ""2"": 95, ""3"": 216, ""4"": 221, ""5"": 145}",1.682311,1,0.27832,0.0008781827636994421,0.02099609375,0.0890432,-1.665294960141182,0.6125544309616089,0.000222608,0.042363978922367096,-0.0015578242018818855,0.1699606399051845,,
111616,"{""0"": 93, ""1"": 252, ""2"": 103, ""3"": 248, ""4"": 202, ""5"": 126}",1.715362,1,0.246094,0.0008934075012803078,0.0107421875,0.0889408,-1.6680062115192413,0.7330065369606018,0.000222352,0.06151066720485687,-0.0015397974057123065,0.18957648053765297,,
112640,"{""0"": 87, ""1"": 284, ""2"": 80, ""3"": 260, ""4"": 150, ""5"": 163}",1.686297,1,0.277344,0.0018283165991306305,0.170166015625,0.0888384,-1.6758105978369713,0.8727490901947021,0.000222096,0.01814085803925991,-0.005599584925221279,0.09922433877363801,,
113664,"{""0"": 74, ""1"": 267, ""2"": 90, ""3"": 242, ""4"": 179, ""5"": 172}",1.699525,1,0.260742,0.0013056539464741945,0.032958984375,0.08873600000000001,-1.6716166213154793,0.8350147604942322,0.00022184,0.020016921684145927,-0.0007452739810105413,0.09705973463132977,,
